Version, Version Name, Name, Age, Revisions, Bugfix, LOCs, LOCs Touched, LOCs Added, Churn, Avg. Churn, Authors Number, Average Change Set, Buggy
1,refs/tags/release-3.0.0,src/java/main/org/apache/zookeeper/server/quorum/LeaderElection.java,0,7,3,180,236,215,180,25.714285714285715,4,78.71428571428571,false
1,refs/tags/release-3.0.0,src/java/main/org/apache/zookeeper/server/quorum/LeaderZooKeeperServer.java,0,6,2,75,124,106,75,12.5,5,96.33333333333333,false
1,refs/tags/release-3.0.0,src/java/main/org/apache/zookeeper/server/quorum/ProposalRequestProcessor.java,0,5,2,64,128,102,74,14.8,5,102.0,false
1,refs/tags/release-3.0.0,src/java/main/org/apache/zookeeper/server/quorum/QuorumCnxManager.java,0,6,2,484,972,768,602,100.33333333333333,4,91.0,false
1,refs/tags/release-3.0.0,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeer.java,0,14,8,517,2432,1511,683,48.785714285714285,4,47.357142857142854,false
1,refs/tags/release-3.0.0,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerConfig.java,0,8,2,212,710,470,212,26.5,2,70.375,false
1,refs/tags/release-3.0.0,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerMain.java,0,3,3,102,124,117,104,34.666666666666664,2,23.0,false
1,refs/tags/release-3.0.0,src/java/main/org/apache/zookeeper/server/quorum/QuorumStats.java,0,5,0,71,149,115,71,14.2,3,108.6,false
1,refs/tags/release-3.0.0,src/java/main/org/apache/zookeeper/server/quorum/SendAckRequestProcessor.java,0,3,0,44,74,64,44,14.666666666666666,3,161.33333333333334,false
1,refs/tags/release-3.0.0,src/java/main/org/apache/zookeeper/server/quorum/Vote.java,0,5,2,55,85,77,55,11.0,4,98.4,false
1,refs/tags/release-3.0.0,src/java/main/org/apache/zookeeper/server/upgrade/DataNodeV1.java,0,1,1,113,129,129,113,113.0,1,14.0,false
1,refs/tags/release-3.0.0,src/java/main/org/apache/zookeeper/server/upgrade/DataTreeV1.java,0,1,1,532,582,582,532,532.0,1,14.0,false
1,refs/tags/release-3.0.0,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeMain.java,0,1,1,170,181,181,170,170.0,1,14.0,false
1,refs/tags/release-3.0.0,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeSnapShot.java,0,1,1,29,33,33,29,29.0,1,14.0,false
1,refs/tags/release-3.0.0,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeSnapShotV1.java,0,1,1,303,323,323,303,303.0,1,14.0,false
1,refs/tags/release-3.0.0,src/java/main/org/apache/zookeeper/server/util/Profiler.java,0,4,0,35,134,87,35,8.75,1,126.0,false
1,refs/tags/release-3.0.0,src/java/main/org/apache/zookeeper/server/util/SerializeUtils.java,0,1,1,96,105,105,96,96.0,1,35.0,false
1,refs/tags/release-3.0.0,src/java/main/org/apache/zookeeper/version/util/VerGen.java,0,6,0,113,214,167,113,18.833333333333332,3,91.83333333333333,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/jmx/CommonNames.java,1,0,0,27,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/jmx/MBeanRegistry.java,1,0,0,164,0,0,0,0,3,0,false
